Lease Details,,,,,,,,,,,,,,,,,,,
Version 3.0,,,,,,,,,,,,,,,,,,,
As Of: 2017-06-26,,,,,,,,,,,,,,,,,,,
property_code,lease_code,unit_code,resident_name,resident_code,resident_cell_phone,resident_home_phone,resident_email,resident_status,market_rent,lease_sign,lease_start,lease_end,move_in,move_out,notice_given,notice_type,actual_rent,number_of_occupants,renewal_status
1028,593191,5743B,"Reviere, Ruby",t0074306,,,,Former Resident,907,7/1/2005,7/1/2016,6/30/2017,6/30/2003,12/19/2016,12/19/2016,Skip,794,1,Renewal
1028,90614,1805D,"Carnegie, Jill",t0074071,,7274552308,,Current Resident,726,12/3/2004,1/1/2008,12/31/2008,12/3/2004,,,,559,1,Renewal
1028,227152,1805D,"Carnegie, Jill",t0074071,,7274552308,,Current Resident,726,12/3/2004,1/1/2011,12/31/2011,12/3/2004,,,,631,1,Renewal
1028,395665,1805D,"Carnegie, Jill",t0074071,,7274552308,,Current Resident,726,12/3/2004,1/1/2014,12/31/2014,12/3/2004,,,,631,1,Renewal
1028,482522,1805D,"Carnegie, Jill",t0074071,,7274552308,,Current Resident,726,12/3/2004,1/1/2015,12/31/2015,12/3/2004,,,,636,1,Renewal
1028,670210,1805D,"Carnegie, Jill",t0074071,,7274552308,,Current Resident,726,12/3/2004,1/1/2017,12/31/2017,12/3/2004,,,,651,1,Renewal
1028,274436,1805D,"Carnegie, Jill",t0074071,,7274552308,,Current Resident,726,12/3/2004,1/1/2012,12/31/2012,12/3/2004,,,,631,1,Renewal
1028,50137,1805D,"Carnegie, Jill",t0074071,,7274552308,,Current Resident,726,12/3/2004,1/1/2007,12/31/2007,12/3/2004,,,,539,1,Renewal
1028,130684,1805D,"Carnegie, Jill",t0074071,,7274552308,,Current Resident,726,12/3/2004,1/1/2009,12/31/2009,12/3/2004,,,,569,1,Renewal
1028,173668,1805D,"Carnegie, Jill",t0074071,,7274552308,,Current Resident,726,12/3/2004,1/1/2010,12/31/2010,12/3/2004,,,,569,1,Renewal
1028,327811,1805D,"Carnegie, Jill",t0074071,,7274552308,,Current Resident,726,12/3/2004,1/1/2013,12/31/2013,12/3/2004,,,,631,1,Renewal
1028,7427,1805D,"Carnegie, Jill",t0074071,,7274552308,,Current Resident,726,12/3/2004,12/1/2005,12/31/2006,12/3/2004,,,,0,1,New Tenant
1028,578464,1805D,"Carnegie, Jill",t0074071,,7274552308,,Current Resident,726,12/3/2004,1/1/2016,12/31/2016,12/3/2004,,,,0,1,Renewal
1028,126258,5483B,"Brown Jr., Willie",t0074148,,7274171977,blacklabtique29@yahoo.com,Current Resident,826,12/12/2005,1/1/2009,12/31/2009,8/5/1999,,,,719,2,Renewal
1028,483969,5483B,"Brown Jr., Willie",t0074148,,7274171977,blacklabtique29@yahoo.com,Current Resident,826,12/12/2005,1/1/2015,12/31/2015,8/5/1999,,,,746,2,Renewal
1028,225032,5483B,"Brown Jr., Willie",t0074148,,7274171977,blacklabtique29@yahoo.com,Current Resident,826,12/12/2005,1/1/2011,12/31/2011,8/5/1999,,,,741,2,Renewal
1028,407543,5483B,"Brown Jr., Willie",t0074148,,7274171977,blacklabtique29@yahoo.com,Current Resident,826,12/12/2005,1/1/2014,12/31/2014,8/5/1999,,,,741,2,Renewal
1028,560318,5483B,"Brown Jr., Willie",t0074148,,7274171977,blacklabtique29@yahoo.com,Current Resident,826,12/12/2005,1/1/2016,12/31/2016,8/5/1999,,,,751,2,Renewal
1028,670211,5483B,"Brown Jr., Willie",t0074148,,7274171977,blacklabtique29@yahoo.com,Current Resident,826,12/12/2005,1/1/2017,12/31/2017,8/5/1999,,,,756,2,Renewal
1028,50089,5483B,"Brown Jr., Willie",t0074148,,7274171977,blacklabtique29@yahoo.com,Current Resident,826,12/12/2005,1/1/2007,12/31/2007,8/5/1999,,,,639,2,Renewal
1028,275773,5483B,"Brown Jr., Willie",t0074148,,7274171977,blacklabtique29@yahoo.com,Current Resident,826,12/12/2005,1/1/2012,12/31/2012,8/5/1999,,,,741,2,Renewal
1028,7474,5483B,"Brown Jr., Willie",t0074148,,7274171977,blacklabtique29@yahoo.com,Current Resident,826,12/12/2005,1/1/2006,12/31/2006,8/5/1999,,,,599,2,New Tenant
1028,88788,5483B,"Brown Jr., Willie",t0074148,,7274171977,blacklabtique29@yahoo.com,Current Resident,826,12/12/2005,1/1/2008,12/31/2008,8/5/1999,,,,679,2,Renewal
1028,331609,5483B,"Brown Jr., Willie",t0074148,,7274171977,blacklabtique29@yahoo.com,Current Resident,826,12/12/2005,1/1/2013,12/31/2013,8/5/1999,,,,741,2,Renewal
1028,179908,5483B,"Brown Jr., Willie",t0074148,,7274171977,blacklabtique29@yahoo.com,Current Resident,826,12/12/2005,1/1/2010,12/31/2010,8/5/1999,,,,741,2,Renewal
1028,252707,5623B,"Masten *, Scherryl",t0074215,7273481562,7278667986,lynnmasten@gmail.com,Current Resident,826,8/1/2005,8/1/2011,7/31/2012,7/19/2001,,,Eviction,741,1,Renewal
1028,30862,5623B,"Masten *, Scherryl",t0074215,7273481562,7278667986,lynnmasten@gmail.com,Current Resident,826,8/1/2005,8/1/2006,7/31/2007,7/19/2001,,,Eviction,639,1,Renewal
1028,151379,5623B,"Masten *, Scherryl",t0074215,7273481562,7278667986,lynnmasten@gmail.com,Current Resident,826,8/1/2005,8/1/2009,7/31/2010,7/19/2001,,,Eviction,724,1,Renewal
1028,364389,5623B,"Masten *, Scherryl",t0074215,7273481562,7278667986,lynnmasten@gmail.com,Current Resident,826,8/1/2005,8/1/2013,7/31/2014,7/19/2001,,,Eviction,741,1,Renewal
1028,205013,5623B,"Masten *, Scherryl",t0074215,7273481562,7278667986,lynnmasten@gmail.com,Current Resident,826,8/1/2005,8/1/2010,7/31/2011,7/19/2001,,,Eviction,724,1,Renewal
1028,517713,5623B,"Masten *, Scherryl",t0074215,7273481562,7278667986,lynnmasten@gmail.com,Current Resident,826,8/1/2005,8/1/2015,7/31/2016,7/19/2001,,,Eviction,751,1,Renewal
1028,303050,5623B,"Masten *, Scherryl",t0074215,7273481562,7278667986,lynnmasten@gmail.com,Current Resident,826,8/1/2005,8/1/2012,7/31/2013,7/19/2001,,,Eviction,741,1,Renewal
1028,612181,5623B,"Masten *, Scherryl",t0074215,7273481562,7278667986,lynnmasten@gmail.com,Current Resident,826,8/1/2005,8/1/2016,7/31/2017,7/19/2001,,,Eviction,771,1,Renewal
1028,72207,5623B,"Masten *, Scherryl",t0074215,7273481562,7278667986,lynnmasten@gmail.com,Current Resident,826,8/1/2005,8/1/2007,7/31/2008,7/19/2001,,,Eviction,679,1,Renewal
1028,7578,5623B,"Masten *, Scherryl",t0074215,7273481562,7278667986,lynnmasten@gmail.com,Current Resident,826,8/1/2005,8/1/2005,7/31/2006,7/19/2001,,,Eviction,599,1,New Tenant
1028,445131,5623B,"Masten *, Scherryl",t0074215,7273481562,7278667986,lynnmasten@gmail.com,Current Resident,826,8/1/2005,8/1/2014,7/31/2015,7/19/2001,,,Eviction,741,1,Renewal
1028,107725,5623B,"Masten *, Scherryl",t0074215,7273481562,7278667986,lynnmasten@gmail.com,Current Resident,826,8/1/2005,8/1/2008,7/31/2009,7/19/2001,,,Eviction,704,1,Renewal
1028,48128,1753D,"Thurman, Wanda",t0074047,,7272786839,,Current Resident,816,7/1/2005,12/1/2006,11/30/2007,5/29/2001,,,,639,1,Renewal
1028,309517,1753D,"Thurman, Wanda",t0074047,,7272786839,,Current Resident,816,7/1/2005,9/1/2012,8/31/2013,5/29/2001,,,,741,1,Renewal
1028,7628,1753D,"Thurman, Wanda",t0074047,,7272786839,,Current Resident,816,7/1/2005,7/1/2005,7/31/2006,5/29/2001,,,,599,1,New Tenant
1028,462328,1753D,"Thurman, Wanda",t0074047,,7272786839,,Current Resident,816,7/1/2005,9/1/2014,8/31/2015,5/29/2001,,,,741,1,Renewal
1028,86920,1753D,"Thurman, Wanda",t0074047,,7272786839,,Current Resident,816,7/1/2005,12/1/2007,11/30/2008,5/29/2001,,,,679,1,Renewal
1028,374478,1753D,"Thurman, Wanda",t0074047,,7272786839,,Current Resident,816,7/1/2005,9/1/2013,8/31/2014,5/29/2001,,,,741,1,Renewal
1028,212946,1753D,"Thurman, Wanda",t0074047,,7272786839,,Current Resident,816,7/1/2005,9/1/2010,8/31/2011,5/29/2001,,,,741,1,Renewal
1028,533844,1753D,"Thurman, Wanda",t0074047,,7272786839,,Current Resident,816,7/1/2005,9/1/2015,8/31/2016,5/29/2001,,,,751,1,Renewal
1028,623066,1753D,"Thurman, Wanda",t0074047,,7272786839,,Current Resident,816,7/1/2005,9/1/2016,8/31/2017,5/29/2001,,,,771,1,Renewal
1028,164229,1753D,"Thurman, Wanda",t0074047,,7272786839,,Current Resident,816,7/1/2005,9/1/2009,8/31/2010,5/29/2001,,,,741,1,Renewal
1028,263759,1753D,"Thurman, Wanda",t0074047,,7272786839,,Current Resident,816,7/1/2005,9/1/2011,8/31/2012,5/29/2001,,,,741,1,Renewal
1028,40217,5483D,"White, James",t0074150,9414000281,9414000281,jamesdubau@yahoo.com,Current Resident,816,9/1/2005,9/1/2006,8/31/2007,8/31/1996,,,,639,1,Renewal
1028,454396,5483D,"White, James",t0074150,9414000281,9414000281,jamesdubau@yahoo.com,Current Resident,816,9/1/2005,9/1/2014,8/31/2015,8/31/1996,,,,741,1,Renewal
1028,161837,5483D,"White, James",t0074150,9414000281,9414000281,jamesdubau@yahoo.com,Current Resident,816,9/1/2005,9/1/2009,8/31/2010,8/31/1996,,,,741,1,Renewal
1028,73680,5483D,"White, James",t0074150,9414000281,9414000281,jamesdubau@yahoo.com,Current Resident,816,9/1/2005,9/1/2007,8/31/2008,8/31/1996,,,,679,1,Renewal
1028,533840,5483D,"White, James",t0074150,9414000281,9414000281,jamesdubau@yahoo.com,Current Resident,816,9/1/2005,9/1/2015,8/31/2016,8/31/1996,,,,751,1,Renewal
1028,208911,5483D,"White, James",t0074150,9414000281,9414000281,jamesdubau@yahoo.com,Current Resident,816,9/1/2005,9/1/2010,8/31/2011,8/31/1996,,,,741,1,Renewal
1028,263773,5483D,"White, James",t0074150,9414000281,9414000281,jamesdubau@yahoo.com,Current Resident,816,9/1/2005,9/1/2011,8/31/2012,8/31/1996,,,,741,1,Renewal
1028,7648,5483D,"White, James",t0074150,9414000281,9414000281,jamesdubau@yahoo.com,Current Resident,816,9/1/2005,9/1/2005,8/31/2006,8/31/1996,,,,599,1,New Tenant
1028,114943,5483D,"White, James",t0074150,9414000281,9414000281,jamesdubau@yahoo.com,Current Resident,816,9/1/2005,9/1/2008,8/31/2009,8/31/1996,,,,719,1,Renewal
1028,371018,5483D,"White, James",t0074150,9414000281,9414000281,jamesdubau@yahoo.com,Current Resident,816,9/1/2005,9/1/2013,8/31/2014,8/31/1996,,,,741,1,Renewal
1028,309451,5483D,"White, James",t0074150,9414000281,9414000281,jamesdubau@yahoo.com,Current Resident,816,9/1/2005,9/1/2012,8/31/2013,8/31/1996,,,,741,1,Renewal
1028,613023,5483D,"White, James",t0074150,9414000281,9414000281,jamesdubau@yahoo.com,Current Resident,816,9/1/2005,9/1/2016,8/31/2017,8/31/1996,,,,771,1,Renewal
1028,7912,1804D,"Brown, Rosa",t0074067,,,rosalbrown53@gmail.com,Current Resident,816,2/1/2005,2/1/2006,1/31/2007,2/19/2000,,,,599,2,Renewal
1028,483960,1804D,"Brown, Rosa",t0074067,,,rosalbrown53@gmail.com,Current Resident,816,2/1/2005,2/1/2015,1/31/2016,2/19/2000,,,,746,2,Renewal
1028,670212,1804D,"Brown, Rosa",t0074067,,,rosalbrown53@gmail.com,Current Resident,816,2/1/2005,2/1/2017,1/31/2018,2/19/2000,,,,801,2,Renewal
1028,89972,1804D,"Brown, Rosa",t0074067,,,rosalbrown53@gmail.com,Current Resident,816,2/1/2005,2/1/2008,1/31/2009,2/19/2000,,,,679,2,Renewal
1028,339787,1804D,"Brown, Rosa",t0074067,,,rosalbrown53@gmail.com,Current Resident,816,2/1/2005,2/1/2013,1/31/2014,2/19/2000,,,,741,2,Renewal
1028,131073,1804D,"Brown, Rosa",t0074067,,,rosalbrown53@gmail.com,Current Resident,816,2/1/2005,2/1/2009,1/31/2010,2/19/2000,,,,679,2,Renewal
1028,563983,1804D,"Brown, Rosa",t0074067,,,rosalbrown53@gmail.com,Current Resident,816,2/1/2005,2/1/2016,1/31/2017,2/19/2000,,,,751,2,Renewal
1028,50919,1804D,"Brown, Rosa",t0074067,,,rosalbrown53@gmail.com,Current Resident,816,2/1/2005,2/1/2007,1/31/2008,2/19/2000,,,,639,2,Renewal
1028,275221,1804D,"Brown, Rosa",t0074067,,,rosalbrown53@gmail.com,Current Resident,816,2/1/2005,2/1/2012,1/31/2013,2/19/2000,,,,741,2,Renewal
1028,177831,1804D,"Brown, Rosa",t0074067,,,rosalbrown53@gmail.com,Current Resident,816,2/1/2005,2/1/2010,1/31/2011,2/19/2000,,,,679,2,Renewal
1028,229883,1804D,"Brown, Rosa",t0074067,,,rosalbrown53@gmail.com,Current Resident,816,2/1/2005,2/1/2011,1/31/2012,2/19/2000,,,,741,2,Renewal
1028,396720,1804D,"Brown, Rosa",t0074067,,,rosalbrown53@gmail.com,Current Resident,816,2/1/2005,2/1/2014,1/31/2015,2/19/2000,,,,741,2,Renewal
1028,7682,1804D,"Brown, Rosa",t0074067,,,rosalbrown53@gmail.com,Current Resident,816,2/1/2005,2/1/2005,1/31/2006,2/19/2000,,,,589,2,New Tenant
1168,157221,228,"Hope, Marcella",t0105720,,3192775615,marcellahope1920@gmail.com,Former Resident,669,10/18/2005,6/1/2002,11/30/2004,6/1/1983,9/30/2016,8/29/2016,Regular,550,1,New Tenant
1047,157244,1211-3,"Swee, Barbara",t0124206,3194938533,3194938533,,Current Resident,525,10/29/2004,5/1/2005,4/30/2006,5/1/2004,,,,450,1,Renewal
1047,438535,1211-3,"Swee, Barbara",t0124206,3194938533,3194938533,,Current Resident,525,10/29/2004,5/1/2012,5/31/2012,5/1/2004,,,,525,1,Renewal
1048,49072,1027-7,"Harken, Gretchen",t0126175,3192698103,3192698103,getgoingert@cfu.net,Current Resident,525,3/1/2006,3/1/2007,2/29/2008,3/1/2006,,,,475,1,Renewal
1048,15121,1027-7,"Harken, Gretchen",t0126175,3192698103,3192698103,getgoingert@cfu.net,Current Resident,525,3/1/2006,3/1/2006,2/28/2007,3/1/2006,,,,450,1,New Tenant
1048,429551,1027-7,"Harken, Gretchen",t0126175,3192698103,3192698103,getgoingert@cfu.net,Current Resident,525,3/1/2006,3/1/2014,3/31/2014,3/1/2006,,,,502,1,Renewal
1048,83995,1029-6,"Hoodjer, Scott",t0126182,,3192393378,102-TPA,Current Resident,525,10/31/2004,11/1/2007,8/31/2008,9/2/1997,,,,475,1,Renewal
1048,422150,1029-6,"Hoodjer, Scott",t0126182,,3192393378,102-TPA,Current Resident,525,10/31/2004,3/1/2014,2/28/2015,9/2/1997,,,,502,1,Renewal
1048,15128,1029-6,"Hoodjer, Scott",t0126182,,3192393378,102-TPA,Current Resident,525,10/31/2004,9/1/2004,8/31/2005,9/2/1997,,,,0,1,New Tenant
1252,123181,E12070,"Muller, Linda",t0130368,,5152829612,,Current Resident,800,10/1/2005,11/1/2008,10/31/2009,12/1/1990,,,,705,1,Renewal
1252,218661,E12070,"Muller, Linda",t0130368,,5152829612,,Current Resident,800,10/1/2005,11/1/2010,10/31/2011,12/1/1990,,,,735,1,Renewal
1252,77862,E12070,"Muller, Linda",t0130368,,5152829612,,Current Resident,800,10/1/2005,11/1/2007,10/31/2008,12/1/1990,,,,705,1,Renewal
1252,330305,E12070,"Muller, Linda",t0130368,,5152829612,,Current Resident,800,10/1/2005,11/1/2012,10/31/2013,12/1/1990,,,,760,1,Renewal
